Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
QB,"0.9982 (#1 QB), #4 OVR","99 (#1 QB), #3 OVR",Played out eligibility,2018 (Harbaugh),2015-> (Harbaugh),"89 (#1 DUAL), #15 OVR",6'2/192,2019,Shea Patterson,Not Drafted,Not Drafted,"5* (#1 QB), #5 OVR",Former players,Former players,Offense,"6.1 (#1 DUAL), #3 OVR",True,QB,1,4.94
QB,"0.9978 (#2 PRO), #5 OVR",-,Transfer: Coach,2007 (Carr),1995-'07 (Carr),"90 (#2 QB), #12 OVR",6'7/220,2007,Ryan Mallett,1st Day (Rnd 1-3),3rd,"5* (#2 QB), #5 OVR",Former players,Former players,Offense,"6.1 (#2 PRO), #4 OVR",True,QB,2,4.94
QB,"0.9924 (#3 PRO), #18 OVR",-,Played out eligibility,2004 (Carr),1995-'07 (Carr),"Lemming: #3 QB, #7 OVR",6'2/210,2007,Chad Henne,1st Day (Rnd 1-3),2nd,"5* (#4 QB), #27 OVR",Former players,Former players,Offense,"6.1 (#3 PRO), #13 OVR",True,QB,3,4.86
QB,-,"Prepstar: #3 QB, #1 MW",Professional Baseball,1998 (Carr),1995-'07 (Carr),"Lemming: #1 PRO, #3 OVR",6'4/220,2000,Drew Henson,2nd Day (Rnd 4-7),6th,"Superprep: #3 QB, #10 OVR",Former players,Former players,Offense,"6.0 (#3 DUAL), #24 OVR",True,QB,4,4.82
QB,"0.9866 (#5 QB), #25 OVR","97 (#6 QB), #38 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"88 (#2 DUAL), #25 OVR",6'3/180,On Team,J.J. McCarthy,Still in College,2025,-,Current players,Current players,Offense,"6.0 (#5 PRO), #45 OVR",True,QB,5,4.73
QB,"0.9656 (#2 DUAL), #70 OVR","96 (#1 DUAL), #44 OVR",Played out eligibility,2010 (Rodriguez),2008-'10 (Rodriguez),"82 (#5 DUAL), #128 OVR",6'4/195,2014,Devin Gardner,UDFA,UDFA,"5* (#5 QB), #43 OVR",Former players,Former players,Offense,"6.1 (#1 DUAL), #3 OVR",True,QB,6,4.68
QB,-,"Athlon's: #32 OVR, #9 Big Ten",Degree and a Handshake,1996 (Carr),1995-'07 (Carr),"Lemming: #2 PRO, #4 MW",6'6/220,1999,Jason Kapsner,Not Drafted,Not Drafted,"Superprep: #7 QB, #6 MW (AA)",Former players,Former players,Offense,All-Am (#2 PRO),True,QB,7,4.63
QB,"0.9674 (#3 PRO), #72 OVR","95 (#4 PRO), #81 OVR",Degree and a Transfer,2013 (Hoke),2011-'14 (Hoke),"84 (#8 QB), #127 OVR",6'3/201,2016,Shane Morris,Not Drafted,Not Drafted,"5* (#3 QB), #40 OVR",Former players,Former players,Offense,"6.0 (#4 PRO), #81 OVR",True,QB,8,4.62
QB,"0.9668 (#6 PRO), #63 OVR","96 (#4 PRO), #34 OVR",Degree and a Transfer,2016 (Harbaugh),2015-> (Harbaugh),"85 (#3 PRO), #60 OVR",6'5/209,2018,Brandon Peters,Still in College,2022,"4* (#4 QB), #77 OVR",Former players,Former players,Offense,"5.9 (#6 PRO), #158 OVR",True,QB,9,4.62
QB,"0.9637 (#5 PRO), #90 OVR",-,Transfer: playing time,2002 (Carr),1995-'07 (Carr),Lemming: #26 OVR,6'4/210,2005,Matt Gutierrez,UDFA,UDFA,4* (#12 QB),Former players,Former players,Offense,"5.9 (#5 PRO), #96 OVR",True,QB,10,4.57
