Year,CBSA,CO1-hr2ndMax,CO8-hr2ndMax,NO298th%ile,NO2AnnualMean,O3 1-hr2nd Max,O3 8-hr4th Max,SO299th %ile,SO2 24-hr2nd Max,SO2AnnualMean,PM2.598th %ile,PM2.5Wtd.Mean,PM10 24-hr2nd Max,PM10Annual Mean,Lead Max3-Mo. Avg
1980,Abilene TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Akron OH,17.6,7.8,0,0,0.12,0.099,188,66,19,0,0,0,0,0
1980,Albany GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Albany-Schenectady-Troy NY,18.6,5.7,0,0,0.13,0.099,174,47,13,0,0,0,0,0
1980,Albuquerque NM,36,20.5,0,20,0.1,0.072,17,10,1,0,0,0,0,0
1980,Alexandria LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Allentown-Bethlehem-Easton PA-NJ,8.8,7.2,0,25,0.16,0.113,0,0,7,0,0,0,0,0
1980,Alma MI,0,0,0,0,0,0,180,69,12,0,0,0,0,0
1980,Anchorage AK,40,26.3,0,0,0,0,0,0,0,0,0,0,0,0
1980,Ann Arbor MI,0,0,0,0,0.1,0.086,76,28,6,0,0,0,0,0
1980,Appleton WI,0,0,0,0,0.09,0.075,0,0,0,0,0,0,0,0
1980,Asheville NC,0,0,0,0,0.1,0.086,0,0,0,0,0,0,0,0
1980,Ashtabula OH,0,0,0,0,0.11,0.092,101,34,10,0,0,0,0,0
1980,Atlanta-Sandy Springs-Roswell GA,23.3,15.6,0,0,0.15,0.104,122,38,11,0,0,0,0,0
1980,Atlantic City-Hammonton NJ,17.3,10,0,0,0.16,0.118,0,0,7,0,0,0,0,0
1980,Augusta-Richmond County GA-SC,0,0,0,0,0.1,0.092,50,17,6,0,0,0,0,0
1980,Augusta-Waterville ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Austin-Round Rock TX,3.8,3.5,0,0,0.13,0.087,0,0,0,0,0,0,0,0
1980,Bakersfield CA,15,12.3,120,36,0.16,0.115,100,40,11,0,0,0,0,0
1980,Baltimore-Columbia-Towson MD,17,10.9,0,29,0.17,0.131,87,43,13,0,0,0,0,0
1980,Bangor ME,12,8.2,0,0,0,0,738,209,26,0,0,0,0,0
1980,Baton Rouge LA,0,0,0,0,0.19,0.125,0,0,0,0,0,0,0,0
1980,Battle Creek MI,0,0,0,0,0,0,30,10,1,0,0,0,0,0
1980,Bay City MI,0,0,0,0,0.11,0.088,63,23,5,0,0,0,0,0
1980,Beaumont-Port Arthur TX,4.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0
1980,Berlin NH-VT,14.6,9.2,0,0,0,0,0,254,34,0,0,0,0,0
1980,Big Spring TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Billings MT,9.5,5,0,0,0,0,0,0,0,0,0,0,0,0
1980,Binghamton NY,7.3,4.5,0,0,0.11,0.09,118,31,10,0,0,0,0,0
1980,Birmingham-Hoover AL,17.2,8.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Bismarck ND,0,0,28,2,0.08,0.069,51,12,2,0,0,0,0,0
1980,Boise City ID,18.9,12.3,0,0,0,0,0,0,0,0,0,0,0,0
1980,Boston-Cambridge-Newton MA-NH,19,10.6,0,0,0.15,0.112,51,24,6,0,0,0,0,0
1980,Boulder CO,22,8.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Bowling Green KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Bridgeport-Stamford-Norwalk CT,36,21.9,0,0,0.28,0.204,107,64,15,0,0,0,0,0
1980,Brownsville-Harlingen TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Brownwood TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Brunswick GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Buffalo-Cheektowaga-Niagara Falls NY,11.6,4.6,78,23,0.12,0.08,236,86,20,0,0,0,0,0
1980,Burlington-South Burlington VT,8.4,3.6,0,0,0,0,74,38,6,0,0,0,0,0
1980,Canton-Massillon OH,8,4.5,0,29,0.1,0.087,0,0,0,0,0,0,0,0
1980,Cape Coral-Fort Myers FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Carbondale-Marion IL,0,0,0,0,0.11,0.092,183,78,9,0,0,0,0,0
1980,Carlsbad-Artesia NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Casper WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Cedar Rapids IA,11.8,6.6,0,0,0.08,0.069,0,0,0,0,0,0,0,0
1980,Central City KY,0,0,0,0,0.12,0.082,520,116,11,0,0,0,0,0
1980,Champaign-Urbana IL,0,0,0,0,0.09,0.077,0,0,0,0,0,0,0,0
1980,Charleston WV,28,4.1,0,0,0.11,0.081,137,60,16,0,0,0,0,0
1980,Charleston-North Charleston SC,0,0,0,0,0.09,0.081,0,0,0,0,0,0,0,0
1980,Charlotte-Concord-Gastonia NC-SC,26.5,16.8,0,0,0.14,0.116,196,32,11,0,0,0,0,0
1980,Chattanooga TN-GA,0,0,0,0,0.12,0.092,0,0,0,0,0,0,0,0
1980,Cheyenne WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Chicago-Naperville-Elgin IL-IN-WI,20.8,13.5,72,40,0.15,0.102,372,121,15,0,0,0,0,0
1980,Chico CA,11,6.6,0,15,0.1,0.071,0,0,0,0,0,0,0,0
1980,Chillicothe OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Cincinnati OH-KY-IN,10,6,70,26,0.16,0.11,190,55,14,0,0,0,0,0
1980,Clarksburg WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Clarksville TN-KY,0,0,0,0,0,0,370,70,11,0,0,0,0,0
1980,Clearlake CA,4,2.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Cleveland-Elyria OH,16.3,11,0,0,0.12,0.097,516,125,18,0,0,0,0,0
1980,Coldwater MI,0,0,0,0,0,0,200,52,6,0,0,0,0,0
1980,Colorado Springs CO,25,10,110,27,0.1,0.071,0,0,0,0,0,0,0,0
1980,Columbia SC,16.1,10.6,0,0,0.12,0.097,0,0,0,0,0,0,0,0
1980,Columbus GA-AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Columbus OH,20,12.1,0,19,0.13,0.101,173,48,9,0,0,0,0,0
1980,Corpus Christi TX,6.2,2.7,0,0,0.15,0.103,130,49,3,0,0,0,0,0
1980,Coshocton OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Cumberland MD-WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Dallas-Fort Worth-Arlington TX,8.8,5.3,0,22,0.18,0.112,0,0,2,0,0,0,0,0
